[1] "Starting sampling."
Running MCMC with 4 parallel chains, with 4 thread(s) per chain...

Chain 1 Iteration:    1 / 6000 [  0%]  (Warmup) 
Chain 1 dis: 538.505, rho: 0 , theta: 197.733, floral[k]: 0.159276, zeta[i]: -19.2136, eps[k]: 22.7374, lambda: -inf 
Chain 1 dis: 570.621, rho: 0 , theta: 197.733, floral[k]: 0.85836, zeta[i]: -19.2136, eps[k]: -47.1811, lambda: -inf 
Chain 1 dis: 610.31, rho: 0 , theta: 197.733, floral[k]: -0.511352, zeta[i]: -19.2136, eps[k]: -698.762, lambda: -inf 
Chain 1 dis: 656.2, rho: 0 , theta: 197.733, floral[k]: 0.745178, zeta[i]: -19.2136, eps[k]: 70.0279, lambda: -inf 
Chain 1 dis: 707.085, rho: 0 , theta: 197.733, floral[k]: 1.02998, zeta[i]: -19.2136, eps[k]: 98.5783, lambda: -inf 
Chain 1 dis: 469.694, rho: 0 , theta: 197.733, floral[k]: 0.34103, zeta[i]: -19.2136, eps[k]: -312.587, lambda: -inf 
Chain 1 dis: 506.194, rho: 0 , theta: 197.733, floral[k]: -0.989519, zeta[i]: -19.2136, eps[k]: -18.6779, lambda: -inf 
Chain 1 dis: 550.548, rho: 0 , theta: 197.733, floral[k]: 1.18965, zeta[i]: -19.2136, eps[k]: -539.189, lambda: -inf 
Chain 1 dis: 601.019, rho: 0 , theta: 197.733, floral[k]: 1.04431, zeta[i]: -19.2136, eps[k]: -410.836, lambda: -inf 
Chain 1 dis: 656.197, rho: 0 , theta: 197.733, floral[k]: -0.509924, zeta[i]: -19.2136, eps[k]: -839.767, lambda: -inf 
Chain 1 dis: 403.097, rho: 0 , theta: 197.733, floral[k]: 1.07972, zeta[i]: -19.2136, eps[k]: -65.4072, lambda: -inf 
Chain 1 dis: 445.093, rho: 0 , theta: 197.733, floral[k]: 0.877506, zeta[i]: -19.2136, eps[k]: 46.9255, lambda: -inf 
Chain 1 dis: 494.953, rho: 0 , theta: 197.733, floral[k]: -0.528865, zeta[i]: -19.2136, eps[k]: -155.019, lambda: -inf 
Chain 1 dis: 550.544, rho: 0 , theta: 197.733, floral[k]: -0.693816, zeta[i]: -19.2136, eps[k]: -263.408, lambda: -inf 
Chain 1 dis: 610.302, rho: 0 , theta: 197.733, floral[k]: 0.958341, zeta[i]: -19.2136, eps[k]: -221.843, lambda: -inf 
Chain 1 dis: 340.018, rho: 0 , theta: 197.733, floral[k]: 0.0841977, zeta[i]: -19.2136, eps[k]: -1024.52, lambda: -inf 
Chain 1 dis: 388.887, rho: 0 , theta: 197.733, floral[k]: 1.32583, zeta[i]: -19.2136, eps[k]: -514.016, lambda: -inf 
