[1] reduce_sum_exponential.stan
Levels: reduce_sum_exponential.stan reduce_sum_exponentialGQ.stan
[1] 4
[1] "Starting sampling."
Running MCMC with 4 parallel chains, with 4 thread(s) per chain...

Chain 1 Iteration:    1 / 6000 [  0%]  (Warmup) 
Chain 2 Iteration:    1 / 6000 [  0%]  (Warmup) 
Chain 2 dis: 204.72, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.04431, zeta[i]: -0.169699, eps[k]: -192.193, lambda: -inf 
Chain 2 dis: 153.636, rho: 2.84347e-250 , theta: -980.941, floral[k]: -0.509924, zeta[i]: -0.169699, eps[k]: -0.0133755, lambda: -3.13548e+34 
Chain 2 dis: 434.968, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.07972, zeta[i]: -0.169699, eps[k]: -11.6507, lambda: -inf 
Chain 2 dis: 370.325, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.877506, zeta[i]: -0.169699, eps[k]: -1.59724, lambda: -inf 
Chain 2 dis: 310.378, rho: 2.84347e-250 , theta: -980.941, floral[k]: -0.528865, zeta[i]: -0.169699, eps[k]: 1.63816, lambda: -5.40204e+26 
Chain 2 dis: 220.162, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.958341, zeta[i]: -0.169699, eps[k]: -3.22185, lambda: -inf 
Chain 2 dis: 474.673, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.0841977, zeta[i]: -0.169699, eps[k]: -0.524956, lambda: -1.23648e+288 
Chain 2 dis: 416.243, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.32583, zeta[i]: -0.169699, eps[k]: -468.4, lambda: -inf 
Chain 2 dis: 363.939, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.644807, zeta[i]: -0.169699, eps[k]: -0.4514, lambda: -inf 
Chain 2 dis: 320.773, rho: 2.84347e-250 , theta: -980.941, floral[k]: -0.054427, zeta[i]: -0.169699, eps[k]: 0.484801, lambda: -7.33682e+228 
Chain 2 dis: 522.19, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.91243, zeta[i]: -0.169699, eps[k]: -142.352, lambda: -inf 
Chain 2 dis: 469.708, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.25655, zeta[i]: -0.169699, eps[k]: -0.987613, lambda: -inf 
Chain 2 dis: 424.051, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.464287, zeta[i]: -0.169699, eps[k]: -12.009, lambda: -inf 
Chain 2 dis: 363.258, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.936751, zeta[i]: -0.169699, eps[k]: -120.046, lambda: -inf 
Chain 2 dis: 424.739, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.159276, zeta[i]: -1.36412, eps[k]: -1.18416, lambda: -inf 
Chain 2 dis: 415.876, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.85836, zeta[i]: -1.36412, eps[k]: -0.162133, lambda: -inf 
Chain 2 dis: 420.42, rho: 2.84347e-250 , theta: -980.941, floral[k]: -0.511352, zeta[i]: -1.36412, eps[k]: 0.173276, lambda: -2.11364e+34 
Chain 2 dis: 437.952, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.745178, zeta[i]: -1.36412, eps[k]: -1.30354, lambda: -inf 
Chain 2 dis: 467.014, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.02998, zeta[i]: -1.36412, eps[k]: -2.41841, lambda: -inf 
Chain 2 dis: 351.672, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.34103, zeta[i]: -1.36412, eps[k]: -2.89754, lambda: -inf 
Chain 2 dis: 346.443, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.18965, zeta[i]: -1.36412, eps[k]: -57.2551, lambda: -inf 
Chain 2 dis: 367.522, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.04431, zeta[i]: -1.36412, eps[k]: -192.193, lambda: -inf 
Chain 2 dis: 401.712, rho: 2.84347e-250 , theta: -980.941, floral[k]: -0.509924, zeta[i]: -1.36412, eps[k]: -0.0133755, lambda: -8.19834e+34 
Chain 2 dis: 279.631, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.07972, zeta[i]: -1.36412, eps[k]: -11.6507, lambda: -inf 
Chain 2 dis: 265.976, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.877506, zeta[i]: -1.36412, eps[k]: -1.59724, lambda: -inf 
Chain 2 dis: 273.026, rho: 2.84347e-250 , theta: -980.941, floral[k]: -0.528865, zeta[i]: -1.36412, eps[k]: 1.63816, lambda: -4.75195e+26 
Chain 2 dis: 340.43, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.958341, zeta[i]: -1.36412, eps[k]: -3.22185, lambda: -inf 
Chain 2 dis: 209.676, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.0841977, zeta[i]: -1.36412, eps[k]: -0.524956, lambda: -5.46186e+287 
Chain 2 dis: 191.086, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.32583, zeta[i]: -1.36412, eps[k]: -468.4, lambda: -inf 
Chain 2 dis: 200.782, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.644807, zeta[i]: -1.36412, eps[k]: -0.4514, lambda: -inf 
Chain 2 dis: 235.294, rho: 2.84347e-250 , theta: -980.941, floral[k]: -0.054427, zeta[i]: -1.36412, eps[k]: 0.484801, lambda: -5.38171e+228 
Chain 2 dis: 144.86, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.91243, zeta[i]: -1.36412, eps[k]: -142.352, lambda: -inf 
Chain 2 dis: 116.336, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.25655, zeta[i]: -1.36412, eps[k]: -0.987613, lambda: -inf 
Chain 2 dis: 131.658, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.464287, zeta[i]: -1.36412, eps[k]: -12.009, lambda: -inf 
Chain 2 dis: 242.246, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.936751, zeta[i]: -1.36412, eps[k]: -120.046, lambda: -inf 
Chain 2 dis: 471.291, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.159276, zeta[i]: -2.94317, eps[k]: -1.18416, lambda: -inf 
Chain 2 dis: 473.567, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.85836, zeta[i]: -2.94317, eps[k]: -0.162133, lambda: -inf 
Chain 2 dis: 487.511, rho: 2.84347e-250 , theta: -980.941, floral[k]: -0.511352, zeta[i]: -2.94317, eps[k]: 0.173276, lambda: -2.45094e+34 
Chain 2 dis: 512.169, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.745178, zeta[i]: -2.94317, eps[k]: -1.30354, lambda: -inf 
Chain 2 dis: 546.093, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.02998, zeta[i]: -2.94317, eps[k]: -2.41841, lambda: -inf 
Chain 2 dis: 396.399, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.34103, zeta[i]: -2.94317, eps[k]: -2.89754, lambda: -inf 
Chain 2 dis: 415.552, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.18965, zeta[i]: -2.94317, eps[k]: -57.2551, lambda: -inf 
Chain 2 dis: 444.223, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.04431, zeta[i]: -2.94317, eps[k]: -192.193, lambda: -inf 
Chain 2 dis: 482.944, rho: 2.84347e-250 , theta: -980.941, floral[k]: -0.509924, zeta[i]: -2.94317, eps[k]: -0.0133755, lambda: -9.85616e+34 
